/home/graham/Projects/GitTests/OpenField/TestSampleData/sampleVid.mp4
parse	hand	none	mouse
mouse	0.0014842177	2.6647189e-05	0.99848914
mouse	0.0013000678	3.1283067e-05	0.9986687
mouse	0.0009341749	3.209253e-05	0.9990338
mouse	0.00033840697	3.7030433e-05	0.9996245
mouse	0.00033858206	3.4167362e-05	0.99962723
mouse	0.00037383672	3.68135e-05	0.9995894
mouse	0.00017485028	2.8799073e-05	0.99979633
mouse	0.00012413782	1.9243233e-05	0.9998566
mouse	0.00014821484	7.68427e-05	0.999775
mouse	0.00015410058	8.677686e-05	0.99975914
mouse	0.00015927682	8.334743e-05	0.99975735
mouse	0.0002168463	0.00024896502	0.99953425
mouse	7.534204e-05	0.00013851614	0.9997862
mouse	7.5371834e-05	0.00013117243	0.99979347
mouse	7.776025e-05	0.00012966502	0.99979264
mouse	5.247457e-05	5.060889e-05	0.9998969
mouse	4.111651e-05	2.915372e-05	0.99992967
mouse	5.2245698e-05	2.65593e-05	0.9999212
mouse	5.230192e-05	2.2008646e-05	0.99992573
mouse	5.0753606e-05	2.3608223e-05	0.9999256
mouse	4.5566325e-05	3.254541e-05	0.9999219
mouse	5.33188e-05	5.985642e-05	0.9998869
mouse	5.195351e-05	5.8045778e-05	0.99988997
mouse	5.410732e-05	6.504821e-05	0.9998808
mouse	0.00010075371	9.9781806e-05	0.99979943
mouse	0.0001646488	9.678696e-05	0.9997385
mouse	0.00010104809	0.000104941406	0.99979407
mouse	0.000104988525	9.732974e-05	0.99979764
mouse	0.000118413605	0.00010135409	0.99978024
mouse	7.092894e-05	9.113251e-05	0.9998379
mouse	5.7786256e-05	4.0587587e-05	0.99990165
mouse	5.7637273e-05	3.9644812e-05	0.9999027
mouse	5.701549e-05	3.96259e-05	0.9999033
mouse	6.8132416e-05	5.0438503e-05	0.9998814
mouse	5.2975305e-05	1.4332929e-05	0.99993265
mouse	0.00011439413	1.891631e-05	0.9998667
mouse	0.00011864118	1.7804403e-05	0.9998635
mouse	0.00011583732	1.737004e-05	0.9998667
mouse	0.00024206426	6.218218e-05	0.9996958
mouse	0.000152617	6.183582e-06	0.9998412
mouse	0.00014573276	7.4288087e-06	0.9998468
mouse	0.0001416797	6.4788383e-06	0.9998518
mouse	9.8836805e-05	1.6706944e-06	0.9998995
mouse	9.015919e-05	7.113288e-07	0.99990916
mouse	6.306842e-05	7.0756323e-07	0.9999362
mouse	6.243943e-05	5.9821633e-07	0.99993694
mouse	6.157019e-05	6.448169e-07	0.9999378
mouse	8.802198e-05	7.072474e-07	0.9999113
mouse	0.00027542413	5.8962445e-07	0.999724
mouse	0.00027358998	6.414391e-07	0.99972576
mouse	0.00028048104	6.179834e-07	0.99971884
mouse	0.00012594719	1.010509e-07	0.9998739
mouse	0.00023390619	1.1135768e-07	0.99976593
mouse	0.00020242686	1.8007943e-06	0.99979573
mouse	0.00020460907	2.2002214e-06	0.99979323
mouse	0.00018772103	1.7254084e-06	0.99981064
mouse	0.00064647774	5.8456306e-05	0.999295
mouse	0.00088921	1.9900002e-05	0.9990909
mouse	0.0009973634	2.1782205e-05	0.9989808
mouse	0.0009401432	1.8099547e-05	0.99904174
mouse	0.0011228332	5.1206534e-06	0.998872
mouse	0.0007674981	3.214126e-05	0.9992004
mouse	0.0022564833	3.0062047e-05	0.99771345
mouse	0.0022148313	2.6293472e-05	0.99775887
mouse	0.002262745	2.6460664e-05	0.9977108
mouse	0.0021411728	2.531807e-05	0.99783355
mouse	0.0010238376	2.9627824e-06	0.99897325
mouse	0.0010008208	3.0235299e-06	0.9989962
mouse	0.0010124891	3.2996275e-06	0.99898416
mouse	0.0011825922	5.804384e-06	0.9988116
mouse	0.0007049794	1.2449338e-07	0.9992949
mouse	0.00048284116	2.1248262e-08	0.9995171
mouse	0.0005002059	2.2302798e-08	0.9994998
mouse	0.0004553593	2.3174767e-08	0.99954456
mouse	0.0005192867	2.8090422e-08	0.99948066
mouse	0.0003515729	7.8656385e-06	0.9996406
mouse	0.0003577004	7.4682735e-06	0.99963486
mouse	0.00036531035	8.222532e-06	0.9996264
mouse	0.0006741469	0.00016564879	0.9991602
mouse	0.0010763603	0.00067835883	0.99824524
mouse	0.0008041681	5.2747226e-05	0.9991431
mouse	0.0007992238	4.752252e-05	0.99915326
mouse	0.0008212432	4.782977e-05	0.9991309
mouse	0.0008013023	4.509856e-06	0.9991942
mouse	0.00058332406	1.5898408e-06	0.99941516
mouse	0.0005763763	1.4810756e-06	0.9994222
mouse	0.00056154875	1.6074737e-06	0.9994368
mouse	0.0012522031	6.698617e-08	0.9987477
mouse	0.0022660655	1.2567887e-07	0.99773383
mouse	0.000437901	2.9164568e-07	0.99956185
mouse	0.00043754175	2.469415e-07	0.9995622
mouse	0.00043745668	2.464322e-07	0.9995623
mouse	0.0010021116	3.1055913e-07	0.9989976
mouse	0.0011759038	4.3687874e-07	0.9988237
mouse	0.0012282559	4.831469e-07	0.99877125
mouse	0.0011868498	3.49871e-07	0.9988128
mouse	0.0016365062	1.186586e-07	0.9983633
mouse	0.0023878007	1.4093271e-07	0.9976121
mouse	0.000860743	1.0631458e-06	0.9991381
mouse	0.0008347994	1.0965059e-06	0.9991641
mouse	0.0008045618	1.1607425e-06	0.9991943
mouse	0.00047726615	1.0134324e-06	0.99952173
mouse	0.00043578452	1.3013379e-06	0.9995629
mouse	0.00044266184	1.2373063e-06	0.9995561
mouse	0.00043535396	1.2706536e-06	0.9995634
mouse	0.0005613049	8.468248e-07	0.99943787
mouse	0.00073238276	6.97411e-07	0.9992669
mouse	0.0005430612	3.415498e-07	0.9994566
mouse	0.0005639344	4.124972e-07	0.9994356
mouse	0.00053020875	4.2164925e-07	0.99946934
mouse	0.00049322745	1.0791905e-06	0.99950564
mouse	0.00042337767	4.8791594e-06	0.99957174
mouse	0.00037812372	3.850217e-06	0.99961805
mouse	0.00038708828	3.8811568e-06	0.99960905
mouse	0.0003677449	9.264775e-06	0.99962294
mouse	0.00039969978	6.6655043e-06	0.9995937
mouse	0.0004612174	1.2192191e-05	0.9995266
mouse	0.00041933783	1.03226075e-05	0.9995703
mouse	0.0004230133	8.460874e-06	0.9995685
mouse	0.0004267706	5.5146666e-06	0.9995677
mouse	0.0015921167	3.4884586e-05	0.9983729
mouse	0.0015208806	3.330643e-05	0.9984458
mouse	0.0015614313	3.6084606e-05	0.99840254
mouse	0.0026404308	3.7524613e-05	0.997322
mouse	0.0028098226	2.531882e-05	0.9971648
mouse	0.0030842447	1.7201344e-05	0.99689853
mouse	0.0029956356	1.9539726e-05	0.9969848
mouse	0.0032719446	1.966217e-05	0.9967084
mouse	0.0038281104	1.4992574e-05	0.9961569
mouse	0.0037352354	1.665161e-05	0.99624807
mouse	0.0033640047	1.6893078e-05	0.9966191
mouse	0.003755896	2.1184405e-05	0.99622285
mouse	0.0029056678	2.1974365e-05	0.99707234
mouse	0.0019203261	5.7877412e-05	0.99802184
mouse	0.0014985262	6.8256384e-05	0.9984332
mouse	0.0013670871	7.217951e-05	0.9985607
mouse	0.0013801154	6.617229e-05	0.9985537
mouse	0.0010748119	9.484481e-05	0.9988304
mouse	0.0008667921	2.8921106e-05	0.9991042
mouse	0.00082713395	3.1067477e-05	0.9991418
mouse	0.0008046472	2.9246758e-05	0.99916613
mouse	0.0005240905	2.0196933e-06	0.99947387
mouse	0.00042179378	3.2578469e-06	0.99957496
mouse	0.00053527043	7.7371834e-07	0.999464
mouse	0.0005270661	7.389681e-07	0.9994722
mouse	0.0004954206	7.608727e-07	0.99950385
mouse	0.0007782909	1.7656843e-07	0.99922156
mouse	0.0009760795	1.8593799e-07	0.9990237
mouse	0.0009516488	1.7260362e-07	0.9990482
mouse	0.0010729457	1.6123519e-07	0.9989268
mouse	0.000399245	1.605484e-07	0.9996006
mouse	0.00047527204	1.06414255e-08	0.9995247
mouse	0.00055267086	4.0544794e-08	0.9994473
mouse	0.00061022525	3.7459117e-08	0.99938977
mouse	0.0005943947	3.694774e-08	0.9994056
mouse	0.00020961631	5.4491792e-08	0.9997904
mouse	0.00032025215	1.1493063e-07	0.9996797
mouse	0.00031118788	1.1775126e-07	0.99968874
mouse	0.00031978355	1.13256704e-07	0.99968016
mouse	0.00024624818	4.4830304e-06	0.99974924
mouse	0.0002582967	0.0020379056	0.99770385
mouse	0.00031568014	7.2111994e-05	0.9996123
mouse	0.00032431076	6.438667e-05	0.9996113
mouse	0.0003404796	7.267663e-05	0.9995869
mouse	0.00053251034	1.8824305e-05	0.9994487
mouse	0.0014278766	1.3685867e-05	0.99855846
mouse	0.0014583074	1.1580913e-05	0.99853015
mouse	0.0013820424	1.226175e-05	0.99860567
mouse	0.00022227471	2.9826729e-06	0.99977475
mouse	9.3356546e-05	1.4220558e-06	0.9999052
mouse	0.00010164456	1.0316265e-06	0.99989736
mouse	9.599297e-05	9.681332e-07	0.9999031
mouse	9.8377815e-05	9.721582e-07	0.9999007
mouse	0.00018861995	4.9570696e-07	0.9998109
mouse	0.00046352422	7.803679e-07	0.9995357
mouse	0.00046167872	8.787242e-07	0.99953747
mouse	0.00047268978	8.262273e-07	0.9995265
mouse	0.00023815426	1.9318054e-06	0.99976
mouse	2.0996444e-05	2.7854895e-07	0.9999788
mouse	1.908589e-05	2.3650335e-07	0.9999807
mouse	1.8536924e-05	1.9278605e-07	0.9999813
mouse	1.8137389e-05	1.8901619e-07	0.99998164
mouse	1.23658765e-05	3.2241786e-07	0.99998736
mouse	1.766496e-05	2.1478242e-07	0.9999821
mouse	1.7497016e-05	1.9517041e-07	0.99998236
mouse	1.6325788e-05	1.8537176e-07	0.99998343
mouse	1.3990065e-05	3.295543e-07	0.9999857
mouse	1.569386e-05	8.9168725e-07	0.99998343
mouse	3.764861e-06	1.936956e-07	0.99999607
mouse	3.8044113e-06	1.8783705e-07	0.99999607
mouse	3.8903277e-06	1.9221609e-07	0.99999595
mouse	3.485217e-06	1.9357488e-07	0.9999963
mouse	1.3304139e-05	1.2749903e-06	0.99998546
mouse	1.2505235e-05	1.2287248e-06	0.9999863
mouse	1.2845037e-05	1.2110714e-06	0.99998593
mouse	5.3097217e-05	1.01480655e-05	0.9999367
mouse	0.00011116357	1.1287834e-05	0.9998776
mouse	0.00022230478	6.980017e-05	0.9997079
mouse	0.00022668044	6.468505e-05	0.9997086
mouse	0.00021362421	6.201121e-05	0.9997243
mouse	0.0004749029	0.000254572	0.9992705
mouse	0.0009933346	0.00017045403	0.9988362
mouse	0.0009540347	0.00014430526	0.9989016
mouse	0.0010403303	0.00016248653	0.9987972
mouse	0.001328533	0.0031079142	0.9955636
mouse	0.0012942922	0.0031956201	0.9955101
mouse	0.0005643018	0.00075464917	0.998681
mouse	0.00058521004	0.0007768552	0.998638
mouse	0.0005665084	0.00075223617	0.99868125
mouse	0.0006019789	0.0002367184	0.99916136
mouse	0.00064414914	0.00024843423	0.9991074
mouse	0.00035082665	5.2538977e-05	0.99959666
mouse	0.00022117364	1.0829233e-05	0.99976796
mouse	0.00020785	1.0486712e-05	0.99978167
mouse	0.00021301337	1.07558135e-05	0.9997762
mouse	0.00011936747	2.3505286e-06	0.9998783
mouse	0.00011095455	4.966644e-07	0.99988854
mouse	7.014888e-05	2.6264917e-07	0.99992955
mouse	7.128366e-05	2.8512278e-07	0.9999285
mouse	7.825766e-05	2.6849528e-07	0.99992144
mouse	0.00016332335	2.4188702e-07	0.99983644
mouse	0.00020021513	3.9545325e-06	0.99979585
mouse	0.00019522959	4.2320303e-06	0.9998005
mouse	0.00018806147	4.1556555e-06	0.9998078
mouse	0.00042208744	1.988282e-05	0.99955803
mouse	0.00018001752	0.00012973325	0.9996903
mouse	5.6491932e-05	2.0345806e-05	0.9999231
mouse	5.783922e-05	1.794147e-05	0.9999242
mouse	5.7075842e-05	1.8235769e-05	0.99992466
mouse	0.00019181581	2.1545146e-05	0.9997867
mouse	8.859365e-05	2.882991e-06	0.99990857
mouse	8.320131e-05	3.0167143e-06	0.9999138
mouse	8.423827e-05	3.0365757e-06	0.99991274
mouse	7.240316e-05	1.2275888e-06	0.9999263
mouse	6.012054e-05	7.6370316e-07	0.9999391
mouse	2.3377163e-05	8.577824e-07	0.9999758
mouse	2.4101391e-05	8.972568e-07	0.99997497
mouse	2.5884905e-05	8.7669446e-07	0.9999733
mouse	2.540953e-05	4.8158654e-07	0.99997413
mouse	4.54956e-05	2.9395896e-06	0.9999516
mouse	4.117217e-05	2.9485307e-06	0.9999559
mouse	4.656359e-05	2.3673838e-06	0.9999511
mouse	4.5097535e-05	1.2868107e-06	0.9999536
mouse	0.00012073136	5.579948e-06	0.99987364
mouse	0.0007071876	0.00051686965	0.9987759
mouse	0.0007235054	0.00051331037	0.9987632
mouse	0.00072790997	0.0005239238	0.9987482
mouse	0.00066364824	0.013451565	0.98588485
mouse	0.00062917825	0.010857363	0.9885134
mouse	0.0006469157	0.0103942845	0.98895884
mouse	0.0006267409	0.010853673	0.9885196
mouse	0.0005262495	0.0039868453	0.9954869
mouse	0.00043893946	0.002358405	0.99720263
mouse	0.0014935486	0.0029094012	0.99559706
mouse	0.0013647255	0.0034265446	0.9952087
mouse	0.0012917806	0.0033621101	0.9953461
mouse	0.0006074389	0.003214599	0.9961779
mouse	0.0001994348	0.0012870323	0.9985135
mouse	0.00020050732	0.0015259656	0.9982735
mouse	0.00018571748	0.0013305632	0.9984837
mouse	4.7821515e-05	3.0912925e-05	0.9999212
mouse	1.9992917e-06	6.198539e-07	0.9999974
mouse	8.452498e-08	6.175572e-09	0.9999999
mouse	8.5319954e-08	6.4879373e-09	0.9999999
mouse	8.596256e-08	6.1689205e-09	0.9999999
mouse	8.771087e-08	4.7826827e-09	0.9999999
mouse	8.971537e-08	5.8307323e-09	0.9999999
mouse	9.3968914e-08	6.2364136e-09	0.9999999
mouse	9.3430614e-08	6.220257e-09	0.9999999
mouse	2.58288e-07	1.0547685e-08	0.99999976
mouse	2.4739313e-07	1.4455573e-09	0.99999976
mouse	2.2044976e-07	1.3601426e-09	0.99999976
mouse	2.0740727e-07	1.3228594e-09	0.99999976
mouse	2.1640886e-07	1.1932179e-09	0.99999976
mouse	2.3288378e-07	1.3978844e-09	0.99999976
mouse	3.5299234e-07	2.1995747e-09	0.99999964
mouse	3.3909762e-07	1.8851893e-09	0.99999964
mouse	3.680726e-07	2.1053042e-09	0.99999964
mouse	1.8359938e-07	8.5675517e-10	0.99999976
mouse	2.052139e-07	6.7737954e-10	0.99999976
mouse	7.770204e-08	2.693731e-10	0.9999999
mouse	7.841639e-08	2.7690483e-10	0.9999999
mouse	7.295882e-08	2.6173905e-10	0.9999999
mouse	2.2545537e-07	6.247509e-09	0.99999976
mouse	1.7329623e-06	8.126019e-09	0.9999982
mouse	1.7583432e-06	9.679418e-09	0.9999982
mouse	1.6991329e-06	9.795647e-09	0.99999833
mouse	1.8243172e-05	2.0884983e-07	0.9999815
mouse	2.7063075e-05	2.6792125e-07	0.9999727
mouse	2.6907488e-05	1.8737182e-07	0.99997294
mouse	2.3463701e-05	2.0925944e-07	0.9999763
mouse	2.1953569e-05	1.6553021e-07	0.9999778
mouse	6.535877e-05	2.303387e-07	0.99993443
mouse	3.2222888e-05	1.5983068e-07	0.9999676
mouse	2.9834675e-05	1.197543e-07	0.9999701
mouse	3.0375952e-05	1.32746e-07	0.9999695
mouse	9.21851e-05	1.4686052e-06	0.9999063
mouse	3.2759595e-05	3.6125635e-07	0.99996686
mouse	2.141764e-05	1.3638531e-07	0.9999784
mouse	2.1731501e-05	1.3863823e-07	0.9999782
mouse	2.0934804e-05	1.099633e-07	0.9999789
mouse	4.211915e-05	4.909873e-07	0.99995744
mouse	8.508476e-05	9.384957e-07	0.99991393
mouse	8.2094266e-05	8.185824e-07	0.99991703
mouse	8.384001e-05	8.2498633e-07	0.99991536
mouse	7.992274e-05	5.7643847e-06	0.9999143
mouse	9.5685486e-05	7.097486e-06	0.99989724
mouse	8.5110936e-05	5.1289317e-06	0.99990976
mouse	8.669985e-05	5.3771e-06	0.999908
mouse	7.5887576e-05	4.1915914e-06	0.9999199
mouse	4.4147942e-05	2.2169518e-06	0.9999536
mouse	3.5035846e-05	9.281977e-07	0.999964
mouse	3.4487e-05	8.1371235e-07	0.9999647
mouse	2.9976844e-05	9.989518e-07	0.999969
mouse	1.7150744e-05	2.3427133e-07	0.9999826
mouse	0.00018083236	2.5270392e-06	0.9998167
